,CareProvider.Integrity.Data,CareProvider.Integrity.Relation,CareProvider.Integrity.Knowledge,PointOfDecision.Display.Human,PointOfDecision.Display.Machine,PointOfDecision.Control.Human,PointOfDecision.Control.Machine,PointOfCare.Sensor.Human,PointOfCare.Sensor.Machine,PointOfCare.Actuator.Human,PointOfCare.Actuator.Machine,MDDS,EMR.Usability.Operability,EMR.Usability.Knowability,EMR.Availibility.Reliability,EMR.Availibility.FaultTolerence,EMR.Integrity.Physical,EMR.Integrity.Data,EMR.Integrity.Relation,EMR.Integrity.Knowledge,HealthCareProcess.Controller.Capital,HealthCareProcess.Controller.Responsiveness,HealthCareProcess.Controller.ClinicalIntegrity,HealthCareProcess.Sensor,HealthCareProcess.Display,HealthCareProcess.Actuator,HealthCareProcess.Control,TechnicalProcess.Controller.Capital,TechnicalProcess.Controller.Responsiveness,TechnicalProcess.Controller.TechnicalIntegrity,TechnicalProcess.Sensor,TechnicalProcess.Actuator
2527955,,,,,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
1653582,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
686923,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1581240,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
903533,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111257,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
911105,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597432,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,
2216034,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
921494,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
955184,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1610365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1563146,,,,,2,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
2645713,,,,,2,,1,,1,,1,,,,1,1,,,,,,,,,,,,,,1,,1
1398154,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,1
871981,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,
1205690,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
2582914,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
1282025,2,,,2,,1,,,,,,,,1,,,,,,,,1,,,,,1,,,,,
1028228,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1669414,2,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
911128,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1577738,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
3166177,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
1008018,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
688925,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
1571439,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1832389,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,
722614,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
2343962,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,
1765044,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,
2711095,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
3300008,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,1,,
3014425,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
1656460,,,2,2,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,
851604,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
880623,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1564745,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
775918,,,,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
734859,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,
1365512,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1577745,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,
1832373,2,,,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,
2596052,,,,2,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,
2382462,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
1474026,,,,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
3311022,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1823527,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1097561,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
3365722,,,,,,1,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,
1673481,,,,,1,1,,1,,,,,,1,,,,,1,,,,,,,,,,,,,
998058,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
1359124,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1
1075747,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
938505,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
1894727,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
1639470,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
1558411,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1277675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
1729552,,,,2,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,
2260917,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,
2386598,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
998059,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
715739,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,1
1649803,,,,2,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,
1578421,,,,2,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,
1083564,,,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,
1673483,,,,,,,1,,,1,,,1,1,,,,1,,,,,,,,,,,,,,
823580,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
2597446,,,,,1,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,
1774314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
1666384,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
664137,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2020667,,,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
2190787,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
584279,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1300683,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
1570801,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
1658771,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
1700028,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756097,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1
2263139,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
2423586,,,,2,,,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,
861144,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
1725683,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
998061,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
1734535,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,1,,,
883711,2,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
1834713,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
1046171,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2894316,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
715521,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
926623,2,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
873052,,,,,1,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,,
946706,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
998067,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
998065,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
1247673,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
755903,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,
2267000,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
1898182,,2,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
2588546,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
1802943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
669996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
2188666,,,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
2845222,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
2291642,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
666457,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,
2049907,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
998062,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
3135550,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1062230,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1009124,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,
927280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
1891144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1840208,,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,1,,
670007,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
1774313,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1882021,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,
1370640,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
2565239,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2088167,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1056958,,,,2,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
999897,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
2948908,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
937591,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
574617,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
1843508,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
3305444,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1034602,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
1977863,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
1430561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
2814143,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1
1083548,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2216032,,,,2,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
1577753,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
809466,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
931457,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
977219,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
2216056,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
935649,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
1849976,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2614856,,,,,,,,,,1,1,,1,,,,,,1,,,,,,,,,,,,,
1664439,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,
587263,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
1477348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
2627204,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1
1711538,,,,2,,,1,1,1,1,1,,1,1,1,,,1,1,,,,,,,,,,,,,
2163546,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
576447,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
1832387,,,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
3246975,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
1828653,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1404752,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,1
1379926,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
3289331,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1628078,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,1
775936,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
2431076,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,
1360248,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
670024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1
1760750,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
662232,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1096285,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1721424,,,,2,,,,,1,,,,,1,,,,1,,1,,,,,,,,,,1,1,
1404395,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
2265467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
2382487,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
1713653,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
2216033,,,,,1,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,
695982,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
737005,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
1644272,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
2904495,,,,2,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,
1834723,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
1665473,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
920299,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
1018195,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,
1696470,,,,2,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
3342067,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2137052,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
1521208,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,
2524814,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
3305468,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2088203,,2,,2,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
1793598,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,
846169,,,,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1051313,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
949037,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,
1456887,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
2338445,,,,,,1,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,
1750191,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
686935,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
574578,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
1714081,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,
1581692,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
836857,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
715963,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
996685,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
1580681,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
911112,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188692,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2216057,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
1172391,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
2713672,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1183929,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
976471,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,1,
678815,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909816,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
975910,,,,,,,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,
1820857,,,,2,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,
2382485,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
1661614,,,,2,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,
1581694,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
976469,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,1,
1669416,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,,,,,,
3339289,,,,2,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,
696006,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
2291631,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
2512883,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,
2264023,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
1887575,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,
2202130,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
2372013,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
1783041,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
998060,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
1054363,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
1292183,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
751931,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
1396757,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,
1672777,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
670101,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
1456916,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,1
911067,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
918312,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
1674835,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
